Filename,Material,Predicted_CT,Predicted_Energy
64-Mg2YB2Au5.poscar,Mg2YB2Au5,51.69549,0.035545789
28-MgAlB4.poscar,MgAlB4,25.632048,0.028184286
184-Mg2HfB2Au5.poscar,Mg2HfB2Au5,24.925976,0.047667642
144-Mg2ZrB2Au5.poscar,Mg2ZrB2Au5,17.671694,0.047358968
183-Mg2HfB2Ag5.poscar,Mg2HfB2Ag5,13.499399,0.039513748
1297-Mg2GeB2Rh5.poscar,Mg2GeB2Rh5,12.448829,0.007848018
216-Mg2VB2Co5.poscar,Mg2VB2Co5,12.288955,0.030517535
621-Mg2OsB2Pt5.poscar,Mg2OsB2Pt5,12.198606,0.036213629
501-Mg2ReB2Pt5.poscar,Mg2ReB2Pt5,12.027156,0.046559616
377-Mg2WB2Rh5.poscar,Mg2WB2Rh5,11.38258,0.032836204
537-Mg2FeB2Rh5.poscar,Mg2FeB2Rh5,10.614398,0.022739773
181-Mg2HfB2Pt5.poscar,Mg2HfB2Pt5,10.578631,0.034533284
339-Mg2MoB2Ni5.poscar,Mg2MoB2Ni5,10.532056,0.024176925
177-Mg2HfB2Rh5.poscar,Mg2HfB2Rh5,10.378444,0.02253105
774-Mg2NiB2Ru5.poscar,Mg2NiB2Ru5,10.340877,0.019505472
57-Mg2YB2Rh5.poscar,Mg2YB2Rh5,9.768598,0.025413797
1181-Mg2GaB2Pt5.poscar,Mg2GaB2Pt5,9.657586,0.034049247
374-Mg2WB2Ru5.poscar,Mg2WB2Ru5,9.631354,0.032286196
380-Mg2WB2Pd5.poscar,Mg2WB2Pd5,9.618045,0.047095049
143-Mg2ZrB2Ag5.poscar,Mg2ZrB2Ag5,9.603882,0.044342318
1417-Mg2AsB2Rh5.poscar,Mg2AsB2Rh5,9.5829115,0.032642049
814-Mg2PdB2Ru5.poscar,Mg2PdB2Ru5,9.545567,0.030862759
1094-Mg2HgB2Ru5.poscar,Mg2HgB2Ru5,9.440946,0.046881009
221-Mg2VB2Pt5.poscar,Mg2VB2Pt5,9.310357,0.023683843
101-Mg2TiB2Pt5.poscar,Mg2TiB2Pt5,9.278232,0.023886387
1101-Mg2HgB2Pt5.poscar,Mg2HgB2Pt5,9.250829,0.047973932
160-Mg2HfB2Cu5.poscar,Mg2HfB2Cu5,9.225333,0.042183735
182-Mg2HfB2Cu5.poscar,Mg2HfB2Cu5,9.225333,0.042183735
1177-Mg2GaB2Rh5.poscar,Mg2GaB2Rh5,9.112812,0.011831544
424-Mg2MnB2Au5.poscar,Mg2MnB2Au5,8.841517,0.047537075
1178-Mg2GaB2Ir5.poscar,Mg2GaB2Ir5,8.382996,0.011311112
1377-Mg2PbB2Rh5.poscar,Mg2PbB2Rh5,8.284492,0.039299206
1221-Mg2InB2Pt5.poscar,Mg2InB2Pt5,8.263171,0.033827315
13-Mg4FeB10.poscar,Mg4FeB10,8.246445,0.037183304
1334-Mg2SnB2Ru5.poscar,Mg2SnB2Ru5,8.118558,0.045171779
739-Mg2IrB2Ni5.poscar,Mg2IrB2Ni5,7.5940466,0.020498903
657-Mg2CoB2Rh5.poscar,Mg2CoB2Rh5,7.515642,0.02027055
54-Mg2YB2Ru5.poscar,Mg2YB2Ru5,7.4989314,0.030107763
494-Mg2ReB2Ru5.poscar,Mg2ReB2Ru5,7.42173,0.036809734
379-Mg2WB2Ni5.poscar,Mg2WB2Ni5,7.414905,0.039172128
4-MgHfB4.poscar,MgHfB4,7.3889775,0.044662722
61-Mg2YB2Pt5.poscar,Mg2YB2Pt5,7.369318,0.023455257
1097-Mg2HgB2Rh5.poscar,Mg2HgB2Rh5,7.2604666,0.024111625
619-Mg2OsB2Ni5.poscar,Mg2OsB2Ni5,7.2083306,0.025249756
137-Mg2ZrB2Rh5.poscar,Mg2ZrB2Rh5,7.152135,0.030487488
614-Mg2OsB2Ru5.poscar,Mg2OsB2Ru5,7.090449,0.036962883
1217-Mg2InB2Rh5.poscar,Mg2InB2Rh5,7.0049086,0.017337614
654-Mg2CoB2Ru5.poscar,Mg2CoB2Ru5,6.99468,0.028158442
534-Mg2FeB2Ru5.poscar,Mg2FeB2Ru5,6.8883176,0.022970283
1338-Mg2SnB2Ir5.poscar,Mg2SnB2Ir5,6.6320467,0.035693306
299-Mg2TaB2Ni5.poscar,Mg2TaB2Ni5,6.6199174,0.026516685
1018-Mg2ZnB2Ir5.poscar,Mg2ZnB2Ir5,6.521834,0.006248419
65-Mg2YB2Zn5.poscar,Mg2YB2Zn5,6.461072,0.049571199
1059-Mg2CdB2Ni5.poscar,Mg2CdB2Ni5,6.4593844,0.021558043
63-Mg2YB2Ag5.poscar,Mg2YB2Ag5,6.4348435,0.038434294
303-Mg2TaB2Ag5.poscar,Mg2TaB2Ag5,6.4336534,0.045410906
1257-Mg2TlB2Rh5.poscar,Mg2TlB2Rh5,6.322382,0.024382257
1301-Mg2GeB2Pt5.poscar,Mg2GeB2Pt5,6.301168,0.036541262
120-Mg2ZrB2Cu5.poscar,Mg2ZrB2Cu5,6.1244826,0.044398747
142-Mg2ZrB2Cu5.poscar,Mg2ZrB2Cu5,6.1244826,0.044398747
454-Mg2TcB2Ru5.poscar,Mg2TcB2Ru5,6.047422,0.036544087
80-Mg2TiB2Cu5.poscar,Mg2TiB2Cu5,6.0208015,0.048965203
102-Mg2TiB2Cu5.poscar,Mg2TiB2Cu5,6.0208015,0.048965203
414-Mg2MnB2Ru5.poscar,Mg2MnB2Ru5,5.864165,0.023109463
258-Mg2NbB2Ir5.poscar,Mg2NbB2Ir5,5.852367,0.013575144
294-Mg2TaB2Ru5.poscar,Mg2TaB2Ru5,5.850708,0.019490604
66-Mg2YB2Cd5.poscar,Mg2YB2Cd5,5.8395123,0.049115043
338-Mg2MoB2Ir5.poscar,Mg2MoB2Ir5,5.811547,0.016933943
297-Mg2TaB2Rh5.poscar,Mg2TaB2Rh5,5.7505503,0.021279179
40-Mg2YB2Cu5.poscar,Mg2YB2Cu5,5.6115274,0.040957448
62-Mg2YB2Cu5.poscar,Mg2YB2Cu5,5.6115274,0.040957448
1174-Mg2GaB2Ru5.poscar,Mg2GaB2Ru5,5.5886874,0.032386426
421-Mg2MnB2Pt5.poscar,Mg2MnB2Pt5,5.547128,0.024583401
860-Mg2PtB2Pd5.poscar,Mg2PtB2Pd5,5.4844365,0.036079638
656-Mg2CoB2Co5.poscar,Mg2CoB2Co5,5.283474,0.043082227
580-Mg2RuB2Pd5.poscar,Mg2RuB2Pd5,5.268643,0.033209182
1414-Mg2AsB2Ru5.poscar,Mg2AsB2Ru5,5.1873484,0.048483062
680-Mg2RhB2Cu5.poscar,Mg2RhB2Cu5,5.1773953,0.038316849
702-Mg2RhB2Cu5.poscar,Mg2RhB2Cu5,5.177395,0.038316849
141-Mg2ZrB2Pt5.poscar,Mg2ZrB2Pt5,5.129336,0.030344484
738-Mg2IrB2Ir5.poscar,Mg2IrB2Ir5,5.094539,0.030347622
13-Mg2CuB2Fe5.poscar,Mg2CuB2Fe5,5.0928745,0.043874731
893-Mg2CuB2Fe5.poscar,Mg2CuB2Fe5,5.0928745,0.043874731
301-Mg2TaB2Pt5.poscar,Mg2TaB2Pt5,5.081258,0.038175266
18-Mg2CuB2Ir5.poscar,Mg2CuB2Ir5,5.0292573,0.005996777
898-Mg2CuB2Ir5.poscar,Mg2CuB2Ir5,5.0292573,0.005996777
1134-Mg2AlB2Ru5.poscar,Mg2AlB2Ru5,5.0101795,0.017283665
1294-Mg2GeB2Ru5.poscar,Mg2GeB2Ru5,4.9996815,0.016439971
1214-Mg2InB2Ru5.poscar,Mg2InB2Ru5,4.826372,0.035538228
938-Mg2AgB2Ir5.poscar,Mg2AgB2Ir5,4.798087,0.009469903
94-Mg2TiB2Ru5.poscar,Mg2TiB2Ru5,4.783297,0.025299155
134-Mg2ZrB2Ru5.poscar,Mg2ZrB2Ru5,4.779657,0.03295987
1173-Mg2GaB2Fe5.poscar,Mg2GaB2Fe5,4.7772226,0.04569302
14-Mg4RuB10.poscar,Mg4RuB10,4.7493973,0.02874821
224-Mg2VB2Au5.poscar,Mg2VB2Au5,4.7287383,0.048557316
1254-Mg2TlB2Ru5.poscar,Mg2TlB2Ru5,4.6939397,0.047220345
1014-Mg2ZnB2Ru5.poscar,Mg2ZnB2Ru5,4.674038,0.026639958
174-Mg2HfB2Ru5.poscar,Mg2HfB2Ru5,4.6586814,0.024918248
698-Mg2RhB2Ir5.poscar,Mg2RhB2Ir5,4.541849,0.016180874
340-Mg2MoB2Pd5.poscar,Mg2MoB2Pd5,4.5393167,0.040733435
1057-Mg2CdB2Rh5.poscar,Mg2CdB2Rh5,4.5059643,0.018298125
261-Mg2NbB2Pt5.poscar,Mg2NbB2Pt5,4.495335,0.0275456
1054-Mg2CdB2Ru5.poscar,Mg2CdB2Ru5,4.480453,0.035851722
1176-Mg2GaB2Co5.poscar,Mg2GaB2Co5,4.439333,0.035290656
17-Mg2CuB2Rh5.poscar,Mg2CuB2Rh5,4.358458,0.015174806
897-Mg2CuB2Rh5.poscar,Mg2CuB2Rh5,4.358458,0.015174806
104-Mg2TiB2Au5.poscar,Mg2TiB2Au5,4.353651,0.045347654
280-Mg2TaB2Cu5.poscar,Mg2TaB2Cu5,4.328708,0.044633229
302-Mg2TaB2Cu5.poscar,Mg2TaB2Cu5,4.328708,0.044633229
341-Mg2MoB2Pt5.poscar,Mg2MoB2Pt5,4.312363,0.032442495
861-Mg2PtB2Pt5.poscar,Mg2PtB2Pt5,4.2994637,0.045884261
857-Mg2PtB2Rh5.poscar,Mg2PtB2Rh5,4.2919464,0.025291932
977-Mg2AuB2Rh5.poscar,Mg2AuB2Rh5,4.2836804,0.024709881
1053-Mg2CdB2Fe5.poscar,Mg2CdB2Fe5,4.2342157,0.042427148
578-Mg2RuB2Ir5.poscar,Mg2RuB2Ir5,4.2316303,0.017931483
1216-Mg2InB2Co5.poscar,Mg2InB2Co5,4.054255,0.031268526
218-Mg2VB2Ir5.poscar,Mg2VB2Ir5,4.0502086,0.00827953
583-Mg2RuB2Ag5.poscar,Mg2RuB2Ag5,3.9852023,0.040954643
600-Mg2OsB2Cu5.poscar,Mg2OsB2Cu5,3.9602132,0.043432224
622-Mg2OsB2Cu5.poscar,Mg2OsB2Cu5,3.9602132,0.043432224
776-Mg2NiB2Co5.poscar,Mg2NiB2Co5,3.9527106,0.034017938
560-Mg2RuB2Cu5.poscar,Mg2RuB2Cu5,3.9325862,0.037665651
582-Mg2RuB2Cu5.poscar,Mg2RuB2Cu5,3.9325862,0.037665651
16-Mg4CoB10.poscar,Mg4CoB10,3.885047,0.035490752
1213-Mg2InB2Fe5.poscar,Mg2InB2Fe5,3.8841639,0.043978618
255-Mg2NbB2Os5.poscar,Mg2NbB2Os5,3.860303,0.046845551
743-Mg2IrB2Ag5.poscar,Mg2IrB2Ag5,3.8204675,0.038876209
540-Mg2FeB2Pd5.poscar,Mg2FeB2Pd5,3.8199558,0.037808062
1300-Mg2GeB2Pd5.poscar,Mg2GeB2Pd5,3.8127375,0.049954231
813-Mg2PdB2Fe5.poscar,Mg2PdB2Fe5,3.79143,0.044690053
418-Mg2MnB2Ir5.poscar,Mg2MnB2Ir5,3.7678418,0.006520753
703-Mg2RhB2Ag5.poscar,Mg2RhB2Ag5,3.7381916,0.043561881
376-Mg2WB2Co5.poscar,Mg2WB2Co5,3.7130132,0.043938095
573-Mg2RuB2Fe5.poscar,Mg2RuB2Fe5,3.7111292,0.048488914
941-Mg2AgB2Pt5.poscar,Mg2AgB2Pt5,3.7107692,0.029134374
840-Mg2PtB2Cu5.poscar,Mg2PtB2Cu5,3.6119695,0.048620829
862-Mg2PtB2Cu5.poscar,Mg2PtB2Cu5,3.611969,0.048620829
933-Mg2AgB2Fe5.poscar,Mg2AgB2Fe5,3.6052551,0.040570664
620-Mg2OsB2Pd5.poscar,Mg2OsB2Pd5,3.6033034,0.036077424
1336-Mg2SnB2Co5.poscar,Mg2SnB2Co5,3.599934,0.047159059
496-Mg2ReB2Co5.poscar,Mg2ReB2Co5,3.5992274,0.048785428
1418-Mg2AsB2Ir5.poscar,Mg2AsB2Ir5,3.5619674,0.039772387
663-Mg2CoB2Ag5.poscar,Mg2CoB2Ag5,3.5444484,0.041061822
16-Mg2CuB2Co5.poscar,Mg2CuB2Co5,3.5366397,0.032380832
896-Mg2CuB2Co5.poscar,Mg2CuB2Co5,3.5366397,0.032380832
138-Mg2ZrB2Ir5.poscar,Mg2ZrB2Ir5,3.535934,0.012946561
937-Mg2AgB2Rh5.poscar,Mg2AgB2Rh5,3.5245528,0.019803184
1259-Mg2TlB2Ni5.poscar,Mg2TlB2Ni5,3.5228643,0.040604212
334-Mg2MoB2Ru5.poscar,Mg2MoB2Ru5,3.51836,0.029181689
617-Mg2OsB2Rh5.poscar,Mg2OsB2Rh5,3.5067387,0.02320152
1296-Mg2GeB2Co5.poscar,Mg2GeB2Co5,3.490765,0.026486518
541-Mg2FeB2Pt5.poscar,Mg2FeB2Pt5,3.4891367,0.031398536
536-Mg2FeB2Co5.poscar,Mg2FeB2Co5,3.4890256,0.034134435
1133-Mg2AlB2Fe5.poscar,Mg2AlB2Fe5,3.4859984,0.046202368
581-Mg2RuB2Pt5.poscar,Mg2RuB2Pt5,3.4855475,0.025613217
256-Mg2NbB2Co5.poscar,Mg2NbB2Co5,3.4688451,0.030757133
659-Mg2CoB2Ni5.poscar,Mg2CoB2Ni5,3.4613926,0.03263557
1017-Mg2ZnB2Rh5.poscar,Mg2ZnB2Rh5,3.3695693,0.010699824
734-Mg2IrB2Ru5.poscar,Mg2IrB2Ru5,3.3639839,0.026862293
854-Mg2PtB2Ru5.poscar,Mg2PtB2Ru5,3.3508925,0.024233937
697-Mg2RhB2Rh5.poscar,Mg2RhB2Rh5,3.348772,0.040752218
853-Mg2PtB2Fe5.poscar,Mg2PtB2Fe5,3.3371358,0.043627011
773-Mg2NiB2Fe5.poscar,Mg2NiB2Fe5,3.3268929,0.046234883
701-Mg2RhB2Pt5.poscar,Mg2RhB2Pt5,3.3052971,0.02821499
1291-Mg2GeB2Tc5.poscar,Mg2GeB2Tc5,3.300509,0.045448338
1016-Mg2ZnB2Co5.poscar,Mg2ZnB2Co5,3.2786987,0.033416528
737-Mg2IrB2Rh5.poscar,Mg2IrB2Rh5,3.2783237,0.023960711
978-Mg2AuB2Ir5.poscar,Mg2AuB2Ir5,3.2734108,0.025459356
11-Mg2CuB2Tc5.poscar,Mg2CuB2Tc5,3.2566595,0.047446803
891-Mg2CuB2Tc5.poscar,Mg2CuB2Tc5,3.2566595,0.047446803
17-Mg4RhB10.poscar,Mg4RhB10,3.2361834,0.018217871
139-Mg2ZrB2Ni5.poscar,Mg2ZrB2Ni5,3.2177262,0.029450964
461-Mg2TcB2Pt5.poscar,Mg2TcB2Pt5,3.1856608,0.026623859
1293-Mg2GeB2Fe5.poscar,Mg2GeB2Fe5,3.1840274,0.042820124
543-Mg2FeB2Ag5.poscar,Mg2FeB2Ag5,3.1783543,0.04456019
979-Mg2AuB2Ni5.poscar,Mg2AuB2Ni5,3.1550198,0.030452067
333-Mg2MoB2Fe5.poscar,Mg2MoB2Fe5,3.1121368,0.049909223
298-Mg2TaB2Ir5.poscar,Mg2TaB2Ir5,3.0969996,0.017141389
19-Mg2CuB2Ni5.poscar,Mg2CuB2Ni5,3.091456,0.025031752
899-Mg2CuB2Ni5.poscar,Mg2CuB2Ni5,3.091456,0.025031752
936-Mg2AgB2Co5.poscar,Mg2AgB2Co5,3.0716245,0.029745114
19-Mg4NiB10.poscar,Mg4NiB10,3.0596917,0.024870132
974-Mg2AuB2Ru5.poscar,Mg2AuB2Ru5,3.056458,0.029396934
59-Mg2YB2Ni5.poscar,Mg2YB2Ni5,3.0442142,0.030354194
1013-Mg2ZnB2Fe5.poscar,Mg2ZnB2Fe5,3.0148745,0.043468929
779-Mg2NiB2Ni5.poscar,Mg2NiB2Ni5,3.0127258,0.033363384
693-Mg2RhB2Fe5.poscar,Mg2RhB2Fe5,2.995958,0.039983767
337-Mg2MoB2Rh5.poscar,Mg2MoB2Rh5,2.9946237,0.028771456
778-Mg2NiB2Ir5.poscar,Mg2NiB2Ir5,2.985437,0.005180595
58-Mg2YB2Ir5.poscar,Mg2YB2Ir5,2.983316,0.018415158
574-Mg2RuB2Ru5.poscar,Mg2RuB2Ru5,2.9819136,0.046237835
1136-Mg2AlB2Co5.poscar,Mg2AlB2Co5,2.9533663,0.026909902
858-Mg2PtB2Ir5.poscar,Mg2PtB2Ir5,2.94461,0.022270779
1021-Mg2ZnB2Pt5.poscar,Mg2ZnB2Pt5,2.9410827,0.027803401
623-Mg2OsB2Ag5.poscar,Mg2OsB2Ag5,2.940318,0.044698722
618-Mg2OsB2Ir5.poscar,Mg2OsB2Ir5,2.9352465,0.025505636
173-Mg2HfB2Fe5.poscar,Mg2HfB2Fe5,2.9173965,0.047474411
257-Mg2NbB2Rh5.poscar,Mg2NbB2Rh5,2.909315,0.024036343
98-Mg2TiB2Ir5.poscar,Mg2TiB2Ir5,2.8634043,0.01003218
416-Mg2MnB2Co5.poscar,Mg2MnB2Co5,2.8571634,0.032931361
699-Mg2RhB2Ni5.poscar,Mg2RhB2Ni5,2.8501227,0.024064652
539-Mg2FeB2Ni5.poscar,Mg2FeB2Ni5,2.8372421,0.030305049
420-Mg2MnB2Pd5.poscar,Mg2MnB2Pd5,2.8257222,0.035207292
1061-Mg2CdB2Pt5.poscar,Mg2CdB2Pt5,2.8178897,0.030870818
263-Mg2NbB2Ag5.poscar,Mg2NbB2Ag5,2.8130288,0.043123304
136-Mg2ZrB2Co5.poscar,Mg2ZrB2Co5,2.8016837,0.034018396
456-Mg2TcB2Co5.poscar,Mg2TcB2Co5,2.7611165,0.035385259
976-Mg2AuB2Co5.poscar,Mg2AuB2Co5,2.748623,0.034855536
378-Mg2WB2Ir5.poscar,Mg2WB2Ir5,2.719225,0.039094938
856-Mg2PtB2Co5.poscar,Mg2PtB2Co5,2.7167263,0.02644432
1339-Mg2SnB2Ni5.poscar,Mg2SnB2Ni5,2.7166889,0.039210384
254-Mg2NbB2Ru5.poscar,Mg2NbB2Ru5,2.709105,0.022914775
1179-Mg2GaB2Ni5.poscar,Mg2GaB2Ni5,2.703433,0.025288409
259-Mg2NbB2Ni5.poscar,Mg2NbB2Ni5,2.7000365,0.026909857
859-Mg2PtB2Ni5.poscar,Mg2PtB2Ni5,2.6777868,0.025273393
733-Mg2IrB2Fe5.poscar,Mg2IrB2Fe5,2.6715539,0.042496969
696-Mg2RhB2Co5.poscar,Mg2RhB2Co5,2.663595,0.030417281
343-Mg2MoB2Ag5.poscar,Mg2MoB2Ag5,2.6580505,0.046619793
577-Mg2RuB2Rh5.poscar,Mg2RuB2Rh5,2.6573262,0.030464875
217-Mg2VB2Rh5.poscar,Mg2VB2Rh5,2.6508896,0.022400699
1219-Mg2InB2Ni5.poscar,Mg2InB2Ni5,2.6498127,0.021011637
720-Mg2IrB2Cu5.poscar,Mg2IrB2Cu5,2.6250887,0.036235179
742-Mg2IrB2Cu5.poscar,Mg2IrB2Cu5,2.6250887,0.036235179
939-Mg2AgB2Ni5.poscar,Mg2AgB2Ni5,2.6194825,0.022708831
1299-Mg2GeB2Ni5.poscar,Mg2GeB2Ni5,2.607416,0.025303193
296-Mg2TaB2Co5.poscar,Mg2TaB2Co5,2.6061249,0.029087113
21-Mg2CuB2Pt5.poscar,Mg2CuB2Pt5,2.601048,0.025446415
901-Mg2CuB2Pt5.poscar,Mg2CuB2Pt5,2.601048,0.025446415
133-Mg2ZrB2Fe5.poscar,Mg2ZrB2Fe5,2.600354,0.049580318
99-Mg2TiB2Ni5.poscar,Mg2TiB2Ni5,2.5838647,0.02911078
497-Mg2ReB2Rh5.poscar,Mg2ReB2Rh5,2.5804117,0.024772206
56-Mg2YB2Co5.poscar,Mg2YB2Co5,2.5752835,0.034853579
458-Mg2TcB2Ir5.poscar,Mg2TcB2Ir5,2.5681024,0.01191759
499-Mg2ReB2Ni5.poscar,Mg2ReB2Ni5,2.5615327,0.036359182
440-Mg2TcB2Cu5.poscar,Mg2TcB2Cu5,2.5542102,0.045015041
462-Mg2TcB2Cu5.poscar,Mg2TcB2Cu5,2.5542102,0.045015041
21-Mg4PtB10.poscar,Mg4PtB10,2.5486138,0.035646661
538-Mg2FeB2Ir5.poscar,Mg2FeB2Ir5,2.5223808,0.008180901
96-Mg2TiB2Co5.poscar,Mg2TiB2Co5,2.5199795,0.036003065
459-Mg2TcB2Ni5.poscar,Mg2TcB2Ni5,2.494854,0.023185292
821-Mg2PdB2Pt5.poscar,Mg2PdB2Pt5,2.4909482,0.030982546
417-Mg2MnB2Rh5.poscar,Mg2MnB2Rh5,2.4576526,0.020038186
419-Mg2MnB2Ni5.poscar,Mg2MnB2Ni5,2.4522445,0.025691829
1058-Mg2CdB2Ir5.poscar,Mg2CdB2Ir5,2.4521136,0.013222232
219-Mg2VB2Ni5.poscar,Mg2VB2Ni5,2.442184,0.027399774
741-Mg2IrB2Pt5.poscar,Mg2IrB2Pt5,2.4338248,0.032313509
320-Mg2MoB2Cu5.poscar,Mg2MoB2Cu5,2.4184837,0.042734002
342-Mg2MoB2Cu5.poscar,Mg2MoB2Cu5,2.4184837,0.042734002
457-Mg2TcB2Rh5.poscar,Mg2TcB2Rh5,2.4000247,0.027555753
1056-Mg2CdB2Co5.poscar,Mg2CdB2Co5,2.3999605,0.032209075
336-Mg2MoB2Co5.poscar,Mg2MoB2Co5,2.3879712,0.032173719
223-Mg2VB2Ag5.poscar,Mg2VB2Ag5,2.382481,0.037642241
616-Mg2OsB2Co5.poscar,Mg2OsB2Co5,2.3740036,0.036440367
176-Mg2HfB2Co5.poscar,Mg2HfB2Co5,2.3687391,0.032648284
1138-Mg2AlB2Ir5.poscar,Mg2AlB2Ir5,2.3674476,0.004583722
178-Mg2HfB2Ir5.poscar,Mg2HfB2Ir5,2.3574343,0.018337988
783-Mg2NiB2Ag5.poscar,Mg2NiB2Ag5,2.333314,0.045588445
240-Mg2NbB2Cu5.poscar,Mg2NbB2Cu5,2.301352,0.041750335
262-Mg2NbB2Cu5.poscar,Mg2NbB2Cu5,2.301352,0.041750335
103-Mg2TiB2Ag5.poscar,Mg2TiB2Ag5,2.2826853,0.039154889
579-Mg2RuB2Ni5.poscar,Mg2RuB2Ni5,2.2820377,0.021651102
1298-Mg2GeB2Ir5.poscar,Mg2GeB2Ir5,2.2729313,0.00638914
736-Mg2IrB2Co5.poscar,Mg2IrB2Co5,2.2725449,0.027740211
576-Mg2RuB2Co5.poscar,Mg2RuB2Co5,2.27219,0.037334839
214-Mg2VB2Ru5.poscar,Mg2VB2Ru5,2.2587261,0.019783908
1139-Mg2AlB2Ni5.poscar,Mg2AlB2Ni5,2.2498362,0.020977938
1258-Mg2TlB2Ir5.poscar,Mg2TlB2Ir5,2.2447107,0.045597948
1137-Mg2AlB2Rh5.poscar,Mg2AlB2Rh5,2.2155585,0.012177148
498-Mg2ReB2Ir5.poscar,Mg2ReB2Ir5,2.2113972,0.030818709
777-Mg2NiB2Rh5.poscar,Mg2NiB2Rh5,2.1676774,0.016567736
981-Mg2AuB2Pt5.poscar,Mg2AuB2Pt5,2.1583972,0.039696034
18-Mg4IrB10.poscar,Mg4IrB10,2.1501966,0.019680632
1218-Mg2InB2Ir5.poscar,Mg2InB2Ir5,2.1383085,0.014371822
694-Mg2RhB2Ru5.poscar,Mg2RhB2Ru5,2.131825,0.030343497
658-Mg2CoB2Ir5.poscar,Mg2CoB2Ir5,2.1183622,0.00745121
661-Mg2CoB2Pt5.poscar,Mg2CoB2Pt5,2.1172583,0.027326121
14-Mg2CuB2Ru5.poscar,Mg2CuB2Ru5,2.0353427,0.018518267
894-Mg2CuB2Ru5.poscar,Mg2CuB2Ru5,2.035341,0.018518267
1019-Mg2ZnB2Ni5.poscar,Mg2ZnB2Ni5,2.0279284,0.02383446
1098-Mg2HgB2Ir5.poscar,Mg2HgB2Ir5,1.9700751,0.043930134
934-Mg2AgB2Ru5.poscar,Mg2AgB2Ru5,1.9615829,0.025530688
1099-Mg2HgB2Ni5.poscar,Mg2HgB2Ni5,1.9508356,0.038454093
7-MgTaB4.poscar,MgTaB4,1.9479716,0.047809321
781-Mg2NiB2Pt5.poscar,Mg2NiB2Pt5,1.9121716,0.025439135
97-Mg2TiB2Rh5.poscar,Mg2TiB2Rh5,1.8917223,0.020139202
423-Mg2MnB2Ag5.poscar,Mg2MnB2Ag5,1.847079,0.041958052
179-Mg2HfB2Ni5.poscar,Mg2HfB2Ni5,1.8162755,0.031719911
1337-Mg2SnB2Rh5.poscar,Mg2SnB2Rh5,1.7921603,0.025091501
463-Mg2TcB2Ag5.poscar,Mg2TcB2Ag5,1.6306779,0.049188122
264-Mg2NbB2Au5.poscar,Mg2NbB2Au5,1.3877847,0.048371968
